aaa_base.x86_64                                   84.87+git20240202.9526d46-1.1 @System
libdbus-1-3.x86_64                                1.14.10-2.2                   @System
libdevmapper-event1_03.x86_64                     2.03.22_1.02.196-1.2          @System
libdevmapper1_03.x86_64                           2.03.22_1.02.196-1.2          @System
libdialog15.x86_64                                1.3-11.2                      @System
libdnf2.x86_64                                    0.73.0-1.1                    @System
libduktape207.x86_64                              2.7.0-3.2                     @System
libdw1.x86_64                                     0.190-1.2                     @System
libeconf0.x86_64                                  0.6.1-1.3                     @System
libedit0.x86_64                                   20210910.3.1-2.6              @System
libefa1.x86_64                                    49.1-2.1                      @System
libelf1.x86_64                                    0.190-1.2                     @System
libexpat1.x86_64                                  2.6.0-2.1                     @System
libexslt0.x86_64                                  1.1.39-1.2                    @System
libext2fs2.x86_64                                 1.47.0-4.1                    @System
libfa1.x86_64                                     1.14.1-1.2                    @System
libfdisk1.x86_64                                  2.39.3-4.1                    @System
libfdt1.x86_64                                    1.7.0-1.4                     @System
libffi8.x86_64                                    3.4.4-2.2                     @System
libfido2-1.x86_64                                 1.14.0-1.2                    @System
libgcc_s1.x86_64                                  14.0.1+git8957-1.2            @System
libgcrypt20.x86_64                                1.10.3-3.2                    @System
libgdbm6.x86_64                                   1.23-3.2                      @System
libgdbm_compat4.x86_64                            1.23-3.2                      @System
libgio-2_0-0.x86_64                               2.78.3-1.2                    @System
libgirepository-1_0-1.x86_64                      1.78.1-2.2                    @System
libglib-2_0-0.x86_64                              2.78.3-1.2                    @System
libgmodule-2_0-0.x86_64                           2.78.3-1.2                    @System
libgmp10.x86_64                                   6.3.0-2.3                     @System
libgnutls30.x86_64                                3.8.3-1.4                     @System
libgobject-2_0-0.x86_64                           2.78.3-1.2                    @System
libgomp1.x86_64                                   14.0.1+git8957-1.2            @System
libgpg-error0.x86_64                              1.47-2.2                      @System
libgpgme11.x86_64                                 1.23.2-4.1                    @System
libhidapi-hidraw0.x86_64                          0.14.0-1.2                    @System
libhogweed6.x86_64                                3.9.1-2.4                     @System
libibverbs.x86_64                                 49.1-2.1                      @System
libibverbs1.x86_64                                49.1-2.1                      @System
libidn2-0.x86_64                                  2.3.7-1.1                     @System
